"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-02-01,8371
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-03-01,8310
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-04-01,11046
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-05-01,10809
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-06-01,9623
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-07-01,10906
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-08-01,9544
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-09-01,10874
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-10-01,9787
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-11-01,7215
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2008-12-01,5106
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2009-01-01,11623
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2009-02-01,6950
4,"Automotriz y Autopartista",29,"Automotores","Patentamiento","unidades","ACARA","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2009-03-01,7147
