indice_tiempo_instruccion,fecha_zarpada,pais_zarpada_id,pais_zarpada_nombre,puerto_zarpada_nombre,puerto_zarpada_latitud,puerto_zarpada_longitud,indice_tiempo_arribo,pais_arribo_id,pais_arribo_nombre,puerto_arribo_nombre,puerto_arribo_latitud,puerto_arribo_longitud,dias_navegacion,dias_puerto,millas_nauticas
1977,1977-10-15,438,Republica Federal de Alemania,Bremen,+53° 04´ 31´´ (N),+008° 47´ 43´´ (E),1977-10-20,412,Republica Francesa,Boulogne Sur Mer,+50° 43´ 48´´ (N),+001° 35´ 37´´ (E),5,7,408
1977,1977-10-27,412,Republica Francesa,Boulogne Sur Mer,+50° 43´ 48´´ (N),+001° 35´ 37´´ (E),1977-10-31,410,Reino de Espania,Vigo,+42° 14´ 34´´ (N),-008° 42´ 15´´ (W),4,8,782
1977,1977-11-08,410,Reino de Espania,Vigo,+42° 14´ 34´´ (N),-008° 42´ 15´´ (W),1977-11-12,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),4,3,971
1977,1977-11-15,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),1977-12-01,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),16,4,3797
1977,1977-12-05,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),1977-12-12,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),7,,1190
1978,1978-06-27,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1978-07-07,203,Republica Federativa de Brasil,Salvador de Bahia,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),10,4,1937
1978,1978-07-11,203,Republica Federativa de Brasil,Salvador de Bahia,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),1978-07-24,226,Republica Bolivariana de Venezuela,La Guaira,+10° 36´ 00´´ (N),-066° 55´ 59´´ (W),13,4,2785
1978,1978-07-28,226,Republica Bolivariana de Venezuela,La Guaira,+10° 36´ 00´´ (N),-066° 55´ 59´´ (W),1978-07-31,223,Estado Libre Asociado de Puerto Rico,Municipio Autonomo de San Juan,+18° 27´ 27´´ (N),-066° 12´ 32´´ (W),3,5,606
1978,1978-08-05,223,Estado Libre Asociado de Puerto Rico,Municipio Autonomo de San Juan,+18° 27´ 27´´ (N),-066° 12´ 32´´ (W),1978-08-18,425,Republica Portuguesa,Funchal ,+32° 38´ 52´´ (N),-016° 54´ 38´´ (W),13,4,2854
1978,1978-08-22,425,Republica Portuguesa,Funchal,+32° 38´ 52´´ (N),-016° 54´ 38´´ (W),1978-08-25,410,Reino de Espania,Malaga,+36° 42´ 38´´ (N),-004° 25´ 29´´ (W),3,8,689
1978,1978-09-02,410,Reino de Espania,Malaga,+36° 42´ 38´´ (N),-004° 25´ 29´´ (W),1978-09-05,412,Republica Francesa,Toulon,+43° 07´ 00´´ (N),+005° 56´ 00´´ (E),3,9,663
1978,1978-09-14,412,Republica Francesa,Toulon,+43° 07´ 00´´ (N),+005° 56´ 00´´ (E),1978-09-20,417,Republica Italiana,Venecia,+45° 26´ 08´´ (N),+012° 18´ 27´´ (E),6,8,1193
1978,1978-09-28,417,Republica Italiana,Venecia,+45° 26´ 08´´ (N),+012° 18´ 27´´ (E),1978-09-29,,,Dijeba,,,1,5,175
1978,1978-10-04,,,Dijeba,,,1978-10-08,413,Republica Helenica,El Pireo,+37° 57´ 00´´ (N),+011° 47´ 14´´ (E),4,5,866
1978,1978-10-13,413,Republica Helenica,El Pireo,+37° 57´ 00´´ (N),+011° 47´ 14´´ (E),1978-10-20,302,Reino de Arabia Saudita,Jeddah,+21° 29´ 32´´ (N),+039° 11´ 19´´ (E),7,2,1337
1978,1978-10-22,302,Reino de Arabia Saudita,Jeddah,+21° 29´ 32´´ (N),+039° 11´ 19´´ (E),1978-10-31,436,Republica de Turquia,Esmirna,+38° 22´ 25´´ (N),+027° 03´ 03´´ (E),9,4,1390
1978,1978-11-04,436,Republica de Turquia,Esmirna,+38° 22´ 25´´ (N),+027° 03´ 03´´ (E),1978-11-09,127,Reino de Marruecos,Tanger,+35° 45´ 50´´ (N),-005° 47´ 52´´ (W),5,7,1708
1978,1978-11-16,127,Reino de Marruecos,Tanger,+35° 45´ 50´´ (N),-005° 47´ 52´´ (W),1978-11-19,410,Reino de Espania,Santa Cruz de Tenerife,+28° 29´ 02´´ (N),-016° 14´ 55´´ (W),3,4,716
1978,1978-11-23,410,Reino de Espania,Santa Cruz de Tenerife,+28° 29´ 02´´ (N),-016° 14´ 55´´ (W),1978-12-09,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),16,5,3544
1978,1978-12-14,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),1978-12-19,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),5,2,1031
1978,1978-12-21,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),1978-12-22,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1,,138
