indice_tiempo_instruccion,fecha_zarpada,pais_zarpada_id,pais_zarpada_nombre,puerto_zarpada_nombre,puerto_zarpada_latitud,puerto_zarpada_longitud,indice_tiempo_arribo,pais_arribo_id,pais_arribo_nombre,puerto_arribo_nombre,puerto_arribo_latitud,puerto_arribo_longitud,dias_navegacion,dias_puerto,millas_nauticas
1983,1983-07-17,209,Republica Dominicana,Santo Domingo,+18° 28´ 17´´ (N),-069° 52´ 29´´ (W),1983-07-23,226,Republica Bolivariana de Venezuela,La Guaira,+10° 36´ 00´´ (N),-066° 55´ 59´´ (W),6,3,539
1983,1983-07-26,226,Republica Bolivariana de Venezuela,La Guaira,+10° 36´ 00´´ (N),-066° 55´ 59´´ (W),1983-08-11,410,Reino de Espania,Santa Cruz de Tenerife,+28° 29´ 02´´ (N),-016° 14´ 55´´ (W),16,5,3117
1983,1983-08-16,410,Republica de Espania,Santa Cruz de Tenerife,+28° 29´ 02´´ (N),-016° 14´ 55´´ (W),1983-08-23,412,Republica Francesa,Toulon,+43° 07´ 00´´ (N),+005° 56´ 00´´ (E),7,10,1447
1983,1983-09-02,412,Republica Francesa,Toulon,+43° 07´ 00´´ (N),+005° 56´ 00´´ (E),1983-09-07,127,Reino de Marruecos,Casablanca,+33° 34´ 42´´ (N),-007° 37´ 28´´ (W),5,5,938
1983,1983-09-12,127,Reino de Marruecos,Casablanca,+33° 34´ 42´´ (N),-007° 37´ 28´´ (W),1983-09-15,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),3,5,583
1983,1983-09-20,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),1983-10-07,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),17,5,3533
1983,1983-10-12,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),1983-10-19,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),7,3,1043
1983,1983-10-22,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),1983-10-25,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),3,,122
1984,1984-06-22,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1984-07-02,203,Republica Federativa de Brasil,Salvador Bahia ,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),10,3,2166
1984,1984-07-05,203,Republica Federativa de Brasil,Salvador de Bahia,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),1984-07-20,223,Estado Libre Asociado de Puerto Rico,Municipio Autonomo de San Juan,+18° 27´ 27´´ (N),-066° 12´ 32´´ (W),15,3,2552
1984,1984-07-23,223,Estado Libre Asociado de Puerto Rico,Municipio Autonomo de San Juan,+18° 27´ 27´´ (N),-066° 12´ 32´´ (W),1984-07-31,212,Estados Unidos de America,Boston,+42° 21´ 00´´ (N),-071° 04´ 59´´ (W),8,6,1871
1984,1984-08-06,212,Estados Unidos de America,Boston,+42° 21´ 00´´ (N),-071° 04´ 59´´ (W),1984-08-12,204,Canada,Quebec,+46° 47´ 43´´ (N),-071° 13´ 32´´ (W),6,7,1537
1984,1984-08-19,204,Canada,Quebec,+46° 47´ 43´´ (N),-071° 13´ 32´´ (W),1984-09-01,425,Republica Portuguesa,Lisboa,+38° 42´ 52´´ (N),-009° 09´ 40´´ (W),13,5,662
1984,1984-09-06,425,Republica Portuguesa,Lisboa,+38° 42´ 52´´ (N),-009° 09´ 40´´ (W),1984-09-10,410,Reino de Espania,Palma de Mallorca,+33° 33´ 02´´ (N),+002° 37´ 29´´ (E),4,4,320
1984,1984-09-14,410,Reino de Espania,Palma de Mallorca,+33° 33´ 02´´ (N),+002° 37´ 29´´ (E),1984-09-17,417,Republica Italiana,Genova,+44° 24´ 52´´ (N),+008° 54´ 54´´ (E),3,11,436
1984,1984-09-28,417,Republica Italiana,Genova,+44° 24´ 52´´ (N),+008° 54´ 54´´ (E),1984-10-01,412,Republica Francesa,Toulon,+43° 07´ 00´´ (N),+005° 56´ 00´´ (E),3,11,174
1984,1984-10-12,412,Republica Francesa,Toulon,+43° 07´ 00´´ (N),+005° 56´ 00´´ (E),1984-10-13,410,Reino de Espania,Barcelona,+41 21´ 00´´ (N),+002° 10´ 00´´ (E),1,11,1983
1984,1984-10-24,410,Reino de Espania,Barcelona,+41° 21´ 00´´ (N),+002° 10´ 00´´ (E),1984-10-30,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),6,3,1670
1984,1984-11-02,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),1984-11-20,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),18,4,2594
1984,1984-11-24,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),1984-12-01,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),7,,126
1985,1985-06-21,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1985-07-02,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),11,4,2166
1985,1985-07-06,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),1985-07-18,410,Reino de Espania,Santa Cruz de Tenerife,+28° 29´ 02´´ (N),-016° 14´ 55´´ (W),12,4,2552
1985,1985-07-22,410,Reino de Espania,Santa Cruz de Tenerife,+28° 29´ 02´´ (N),-016° 14´ 55´´ (W),1985-07-31,423,Paises Bajos,Amsterdam,+52° 22´ 31´´ (N),+004° 54´ 14´´ (E),9,6,1871
1985,1985-08-06,423,Paises Bajos,Amsterdam,+52° 22´ 31´´ (N),+004° 54´ 14´´ (E),1985-08-14,410,Reino de Espania,Malaga,+36° 42´ 38´´ (N),-004° 25´ 29´´ (W),8,9,1537
1985,1985-08-23,410,Reino de Espania,Malaga,+36° 42´ 38´´ (N),-004° 25´ 29´´ (W),1985-08-26,412,Republica Francesa,Marsella,+43° 17´ 32´´ (N),+005° 21´ 18´´ (E),3,9,662
1985,1985-09-04,412,Republica Francesa,Marsella,+43° 17´ 32´´ (N),+005° 21´ 18´´ (E),1985-09-05,417,Republica Italiana,Civitavecchia,+42° 05´ 47´´ (N),+011° 47´ 14´´ (E),1,9,320
1985,1985-09-14,417,Republica Italiana,Civitavecchia,+42° 05´ 47´´ (N),+011° 47´ 14´´ (E),1985-09-16,410,Reino de Espania,Palmas de Mallorca,+33° 33´ 02´´ (N),+002° 37´ 29´´ (E),2,3,436
1985,1985-09-19,410,Reino de Espania,Palmas de Mallorca,+33° 33´ 02´´ (N),+002° 37´ 29´´ (E),1985-09-21,102,Republica Argelina Democratica y Popular,Argel ,+36° 47´ 09´´ (N),+003° 03´ 54´´ (E),2,4,174
1985,1985-09-25,102,Republica Argelina Democratica y Popular,Argel ,+36° 47´ 09´´ (N),+003° 03´ 54´´ (E),1985-10-04,134,Republica de Senegal,Dakar,+14° 40´ 56´´ (N),-017° 26´ 26´´ (W),9,4,1983
1985,1985-10-08,134,Republica de Senegal,Dakar,+14° 40´ 56´´ (N),-017° 26´ 26´´ (W),1985-10-16,203,Republica Federativa de Brasil,Fortaleza,-03° 43´ 51´´ (S),-038° 36´ 51´´ (W),8,5,1670
1985,1985-10-21,203,Republica Federativa de Brasil,Fortaleza,-03° 43´ 51´´ (S),-038° 36´ 51´´ (W),1985-11-02,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),12,4,2594
1985,1985-11-06,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),1985-11-09,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),3,,126
1986,1986-05-02,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1986-05-12,208,Republica de Chile,Punta Arenas,-53° 06´ 06´´ (S),-070° 56´ 28´´ (W),10,2,1807
1986,1986-05-14,208,Republica de Chile,Punta Arenas,-53° 06´ 06´´ (S),-070° 56´ 28´´ (W),1986-05-29,222,Republica de Peru,El Callao,-12° 03´ 13´´ (S),-077° 07´ 16´´ (W),15,4,3267
1986,1986-06-02,222,Republica de Peru,El Callao,-12° 03´ 13´´ (S),-077° 07´ 16´´ (W),1986-06-06,210,Republica de Ecuador,Guayaquil,-02° 14´ 25´´ (S),-079° 52´ 53´´ (W),4,4,733
1986,1986-06-10,210,Republica de Ecuador,Guayaquil,-02° 14´ 25´´ (S),-079° 52´ 53´´ (W),1986-06-16,220,Republica de Panama,Balboa,+08° 56´ 22´´ (N),-079° 33´ 17´´ (W),6,3,837
1986,1986-06-19,220,Republica de Panama,Balboa,+08° 56´ 22´´ (N),-079° 33´ 17´´ (W),1986-06-27,212,Estados Unidos de America,Norfolk,+36° 51´ 09´´ (N),-076° 20´ 14´´ (W),8,3,2115
1986,1986-06-30,212,Estados Unidos de America,Norfolk,+36° 51´ 09´´ (N),-076° 20´ 14´´ (W),1986-07-06,212,Estados Unidos de America,New York ,+40° 42´ 19´´ (N),-074° 01´ 03´´ (W),6,3,376
1986,1986-07-09,212,Estados Unidos de America,New York ,+40° 42´ 19´´ (N),-074° 01´ 03´´ (W),1986-07-27,438,Rpublica Federal de Alemania,Bremerhaven,+53° 32´ 34´´ (N),+008° 34´ 31´´ (E),18,4,3698
1986,1986-07-31,438,Republica Federal de Alemania,Bremerhaven,+53° 32´ 34´´ (N),+008° 34´ 31´´ (E),1986-08-02,412,Republica Francesa,Boulogne Sur Mer,+50° 43´ 48´´ (N),+001° 35´ 37´´ (E),2,7,339
1986,1986-08-09,412,Republica Francesa,Boulogne Sur Mer,+50° 43´ 48´´ (N),+001° 35´ 37´´ (E),1986-08-15,410,Reino de Espania,Huelva,+37° 13´ 56´´ (N),-006° 57´ 00´´ (W),6,7,1228
1986,1986-08-22,410,Reino de Espania,Huelva,+37° 13´ 56´´ (N),-006° 57´ 00´´ (W),1986-08-28,417,Republica Italiana,Genova,+44° 24´ 52´´ (N),+008° 54´ 54´´ (E),6,7,1031
1986,1986-09-04,417,Republica Italiana,Genova,+44° 24´ 52´´ (N),+008° 54´ 54´´ (E),1986-09-12,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),8,4,1625
1986,1986-09-16,410,Reino de Espania,Las Palmas de Gran Canaria,+28° 07´ 43´´ (N),-015° 25´ 49´´ (W),1986-10-04,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),18,6,3737
1986,1986-10-10,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),1986-10-18,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),8,,1158
1987,1987-06-16,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1987-06-30,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),14,3,2516
1987,1987-07-03,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),1987-07-17,226,Republica Bolivariana de Venezuela,La Guayra,+10° 36´ 00´´ (N),-066° 55´ 59´´ (W),14,5,2844
1987,1987-07-22,226,Republica Bolivariana de Venezuela,La Guayra,+10° 36´ 00´´ (N),-066° 55´ 59´´ (W),1987-07-31,212,Estados Unidos de America,Baltimore,+39° 16´ 52´´ (N),-076° 35´ 44´´ (W),9,7,1882
1987,1987-08-07,212,Estados Unidos de America,Baltimore,+39° 16´ 52´´ (N),-076° 35´ 44´´ (W),1987-08-27,415,Republica de Irlanda,Dublin,+53° 20´ 36´´ (N),-006° 13´ 35´´ (W),20,4,3458
1987,1987-08-31,415,Republica de Irlanda,Dublin,+53° 20´ 36´´ (N),-006° 13´ 35´´ (W),1987-09-04,406,Reino de Belgica,Amberes,+51° 12´ 08´´ (N),+004° 22´58´´ (E),4,7,665
1987,1987-09-11,406,Reino de Belgica,Amberes,+51° 12´ 08´´ (N),+004° 22´58´´ (E),1987-09-18,410,Reino de Espania,Malaga,+36° 42´ 38´´ (N),-004° 25´ 29´´ (W),7,6,663
1987,1987-09-24,410,Reino de Espania,Malaga,+36° 42´ 38´´ (N),-004° 25´ 29´´ (W),1987-09-28,412,Republica Francesa,Marsella,+43° 17´ 32´´ (N),+005° 21´ 18´´ (E),4,8,664
1987,1987-10-06,412,Republica Francesa,Marsella,+43° 17´ 32´´ (N),+005° 21´ 18´´ (E),1987-10-09,417,Republica Italiana,Napoles,+40° 50´ 35´´ (N),+014° 15´ 36´´ (E),3,7,500
1987,1987-10-16,417,Republica Italiana,Napoles,+40° 50´ 35´´ (N),+014° 15´ 36´´ (E),1987-10-23,447,Republica de Croacia,Dubrovnik,+42° 39´ 45´´ (N),+018° 05´ 12´´ (E),7,17,601
1987,1987-11-09,447,Republica de Croacia,Dubrovnik,+42° 39´ 45´´ (N),+018° 05´ 12´´ (E),1987-11-12,134,Republica de Senegal,Dakar,+14° 40´ 56´´ (N),-017° 26´ 26´´ (W),3,15,3211
1987,1987-11-27,134,Republica de Senegal,Dakar,+14° 40´ 56´´ (N),-017° 26´ 26´´ (W),1987-12-01,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),4,6,2865
1987,1987-12-07,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),1987-12-10,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),3,2,1079
1987,1987-12-12,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),1987-12-12,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),0,,146
1988,1988-05-23,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1988-06-05,203,Republica Federativa de Brasil,Fortaleza,-03° 43´ 51´´ (S),-038° 36´ 51´´ (W),13,4,2270
1988,1988-06-09,203,Republica Federativa de Brasil,Fortaleza,-03° 43´ 51´´ (S),-038° 36´ 51´´ (W),1988-06-22,205,Republica de Colombia,Cartagena de Indias,+10° 24´ 09´´ (N),-075° 31´ 12´´ (W),13,2,2563
1988,1988-06-24,205,Republica de Colombia,Cartagena de Indias,+10° 24´ 09´´ (N),-075° 31´ 12´´ (W),1988-07-02,218,Estados Unidos Mexicanos,Acapulco,+16° 50´ 54´´ (N),-099° 55´ 04´´ (W),8,4,1803
1988,1988-07-06,218,Estados Unidos Mexicanos,Acapulco,+16° 50´ 54´´ (N),-099° 55´ 04´´ (W),1988-07-14,212,Estados Unidos de America,Monterrey ,+36° 36´ 32´´ (N),-121° 53´ 28´´ (W),8,2,1829
1988,1988-07-16,212,Estados Unidos de America,Monterrey ,+36° 36´ 32´´ (N),-121° 53´ 28´´ (W),1988-07-18,212,Estados Unidos de America,San Francisco,+37° 48´ 29´´ (N),-122° 24´ 36´´ (W),2,6,111
1988,1988-07-24,212,Estados Unidos de America,San Francisco,+37° 48´ 29´´ (N),-122° 24´ 36´´ (W),1988-08-04,212,Estados Unidos de America,Honolulu,+21° 17´ 55´´ (N),-157° 51´ 58´´ (W),11,5,2101
1988,1988-08-09,212,Estados Unidos de America,Honolulu,+21° 17´ 55´´ (N),-157° 51´ 58´´ (W),1988-08-27,320,Estado de Japon,Tokyo,+35° 38´ 56´´ (N),+139° 47´ 29´´ (E),18,5,3506
1988,1988-09-01,320,Estado de Japon,Tokyo,+35° 38´ 56´´ (N),+139° 47´ 29´´ (E),1988-09-06,310,Republica Popular China,Shanghai,+31° 24´ 00´´ (N),+121° 29´ 49´´ (E),5,4,1109
1988,1988-09-10,310,Republica Popular China,Shanghai,+31° 24´ 00´´ (N),+121° 29´ 49´´ (E),1988-09-22,513,Nueva Guinea,Puerto Moresby,-09° 25´ 34´´ (S),+147° 06´ 40´´ (E),12,3,3750
1988,1988-09-25,513,Nueva Guinea,Puerto Moresby,-09° 25´ 34´´ (S),+147° 06´ 40´´ (E),1988-10-03,501,Mancomunidad de Australia,Brisbane,-27° 27´ 59´´ (S),+153° 10´ 59´´ (E),8,4,1240
1988,1988-10-07,501,Mancomunidad de Australia,Brisbane,-27° 27´ 59´´ (S),+153° 10´ 59´´ (E),1988-10-15,554,Nueva Zelanda,Wellington,-41° 15´ 17´´ (S),+174° 46´ 23´´ (E),8,4,1570
1988,1988-10-19,554,Nueva Zelanda,Wellington,-41° 15´ 17´´ (S),+174° 46´ 23´´ (E),1988-10-31,258,Tahiti,Papeete,-17° 32´ 00´´ (S),-049° 39´ 24´´ (W),12,2,2391
1988,1988-11-02,258,Tahiti (Polinesia Francesa),Papeete,-17° 32´ 00´´ (S),-049° 39´ 24´´ (W),1988-11-15,208,Republica de Chile,Isla de Pascua,-27° 09´ 20´´ (S),-109° 26´ 08´´ (W),13,0,2316
1988,1988-11-15,208,Republica de Chile,Isla de Pascua,-27° 09´ 20´´ (S),-109° 26´ 08´´ (W),1988-11-29,208,Republica de Chile,Punta Arenas,-53° 06´ 06´´ (S),-070° 56´ 28´´ (W),14,3,3122
1988,1988-12-02,208,Republica de Chile,Punta Arenas,-53° 06´ 06´´ (S),-070° 56´ 28´´ (W),1989-01-10,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),39,,1408
1989,1989-05-30,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1989-06-09,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),10,5,2257
1989,1989-06-14,203,Republica Federativa de Brasil,Recife,-08° 02´ 01´´ (S),-034° 52´ 29´´ (W),1989-06-29,127,Reino de Marruecos,Casablanca,+33° 34´ 42´´ (N),-007° 37´ 28´´ (W),15,3,3070
1989,1989-07-02,127,Reino de Marruecos,Casablanca,+33° 34´ 42´´ (N),-007° 37´ 28´´ (W),1989-07-09,412,Republica Francesa,Rouen,+49° 26´ 12´´ (N),+001° 03´ 24´´ (E),7,7,1418
1989,1989-07-16,412,Republica Francesa,Rouen,+49° 26´ 12´´ (N),+001° 03´ 24´´ (E),1989-07-20,438,Republica Federal de Alemania,Hamburgo,+53° 32´ 51´´ (N),+009° 58´ 09´´ (E),4,5,576
1989,1989-07-25,438,Republica Federal de Alemania,Hamburgo,+53° 32´ 51´´ (N),+009° 58´ 09´´ (E),1989-08-01,422,Reino de Noruega,Oslo,+59° 54´ 16´´ (N),+010° 44´ 20´´ (E),7,0,473
1989,1989-08-01,422,Reino de Noruega,Oslo,+59° 54´ 16´´ (N),+010° 44´ 20´´ (E),1989-08-08,410,Reino de Espania,La Corunia,+43° 28´ 08´´ (N),-008° 16´ 00´´ (W),7,5,1337
1989,1989-08-13,410,Reino de Espania,La Corunia,+43° 28´ 08´´ (N),-008° 16´ 00´´ (W),1989-08-15,425,Republica Portuguesa,Lisboa,+38° 42´ 52´´ (N),-009° 09´ 40´´ (W),2,3,256
1989,1989-08-18,425,Republica Portuguesa,Lisboa,+38° 42´ 52´´ (N),-009° 09´ 40´´ (W),1989-09-03,212,Estados Unidos de America,Norfolk,+36° 51´ 09´´ (N),-076° 20´ 14´´ (W),16,4,3661
1989,1989-09-07,212,Estados Unidos de America,Norfolk,+36° 51´ 09´´ (N),-076° 20´ 14´´ (W),1989-09-09,212,Estados Unidos de America,Baltimore,+39° 16´ 52´´ (N),-076° 35´ 44´´ (W),2,9,164
1989,1989-09-18,212,Estados Unidos de America,Baltimore,+39° 16´ 52´´ (N),-076° 35´ 44´´ (W),1989-09-26,209,Republica Dominicana,Santo Domingo,+18° 28´ 17´´ (N),-069° 52´ 29´´ (W),8,3,1745
1989,1989-09-29,209,Republica Dominicana,Santo Domingo,+18° 28´ 17´´ (N),-069° 52´ 29´´ (W),1989-10-12,222,Republica de Peru,El Callao,-12° 03´ 13´´ (S),-077° 07´ 16´´ (W),13,3,2243
1989,1989-10-15,222,Republica de Peru,El Callao,-12° 03´ 13´´ (S),-077° 07´ 16´´ (W),1989-10-25,208,Republica de Chile,Valparaiso,-33° 03´ 01´´ (S),-071° 38´ 20´´ (W),10,4,1546
1989,1989-10-29,208,Republica de Chile,Valparaiso,-33° 03´ 01´´ (S),-071° 38´ 20´´ (W),1989-11-08,200,Republica Argentina,Ushuaia,-54° 47´ 17´´ (S),-068° 17´ 40´´ (W),10,2,1835
1989,1989-11-10,200,Republica Argentina,Ushuaia,-54° 47´ 17´´ (S),-068° 17´ 40´´ (W),1989-11-24,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),14,,1737
1990,1990-06-04,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1990-06-16,203,Republica Federativa de Brasil,Fortaleza,-03° 43´ 51´´ (S),-038° 36´ 51´´ (W),12,3,2608
1990,1990-06-19,203,Republica Federativa de Brasil,Fortaleza,-03° 43´ 51´´ (S),-038° 36´ 51´´ (W),1990-07-07,212,Estados Unidos de America,Baltimore,+39° 16´ 52´´ (N),-076° 35´ 44´´ (W),18,6,3382
1990,1990-07-13,212,Estados Unidos de America,Baltimore,+39° 16´ 52´´ (N),-076° 35´ 44´´ (W),1990-08-02,406,Reino de Belgica,Zeebgrugge,+51° 20´ 13´´ (N),+003° 13´ 02´´ (E),20,5,3644
1990,1990-08-07,406,Reino de Belgica,Zeebgrugge,+51° 20´ 13´´ (N),+003° 13´ 02´´ (E),1990-08-09,423,Paises Bajos,Amsterdam,+52° 22´ 31´´ (N),+004° 54´ 14´´ (E),2,5,160
1990,1990-08-14,423,Paises Bajos,Amsterdam,+52° 22´ 31´´ (N),+004° 54´ 14´´ (E),1990-08-15,438,Republica Federal de Alemania,Bremerhaven,+53° 32´ 34´´ (N),+008° 34´ 31´´ (E),1,5,224
1990,1990-08-20,438,Republica Federal de Alemania,Bremerhaven,+53° 32´ 34´´ (N),+008° 34´ 31´´ (E),1990-08-26,410,Reino de Espania,Vigo,+42° 14´ 34´´ (N),-008° 42´ 15´´ (W),6,3,1138
1990,1990-08-29,410,Reino de Espania,Vigo,+42° 14´ 34´´ (N),-008° 42´ 15´´ (W),1990-08-31,410,Reino de Espania,Cadiz,+36° 31´ 21´´ (N),-006° 16´ 53´´ (W),2,4,482
1990,1990-09-04,410,Reino de Espania,Cadiz,+36° 31´ 21´´ (N),-006° 16´ 53´´ (W),1990-09-09,417,Republica Italiana,La Spezia,+44° 05´ 53´´ (N),+009° 49´ 18´´ (E),5,4,1033
1990,1990-09-13,417,Republica Italiana,La Spezia,+44° 05´ 53´´ (N),+009° 49´ 18´´ (E),1990-09-14,417,Republica Italiana,Civitavecchia,+42° 05´ 47´´ (N),+011° 47´ 14´´ (E),1,4,160
1990,1990-09-18,417,Republica Italiana,Civitavecchia,+42° 05´ 47´´ (N),+011° 47´ 14´´ (E),1990-09-22,413,Republica Helenica,El Pireo,+37° 57´ 00´´ (N),+011° 47´ 14´´ (E),4,6,851
1990,1990-09-28,413,Republica Helenica,El Pireo,+37° 57´ 00´´ (N),+011° 47´ 14´´ (E),1990-10-02,420,Republica de Malta,Valletta,+37° 57´ 00´´ (N),+014° 31´ 00´´ (E),4,13,580
1990,1990-10-15,420,Republica de Malta,Valletta,+37° 57´ 00´´ (N),+014° 31´ 00´´ (E),1990-11-05,425,Republica Portuguesa,Funchal ,+32° 38´ 52´´ (N),-016° 54´ 38´´ (W),21,21,
1990,1990-10-15,425,Republica Portuguesa,Funchal ,+32° 38´ 52´´ (N),-016° 54´ 38´´ (W),1990-11-05,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),21,4,3862
1990,1990-11-09,203,Republica Federativa de Brasil,Rio de Janeiro,-22° 54´ 00´´ (S),-043° 12´ 00´´ (W),1990-11-15,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),6,4,1044
1990,1990-11-19,225,Republica Oriental del Uruguay,Montevideo,-34° 54´ 24´´ (S),-056° 11´ 45´´ (W),1990-11-23,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),4,,137
1992,1992-01-24,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1992-02-09,203,Republica Federativa de Brasil,Salvador de Bahia,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),16,5,2047
1992,1992-02-14,203,Republica Federativa de Brasil,Salvador de Bahia,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),1992-03-09,425,Republica Portuguesa,Funchal ,+32° 38´ 52´´ (N),-016° 54´ 38´´ (W),24,4,3131
1992,1992-03-13,425,Republica Portuguesa,Funchal ,+32° 38´ 52´´ (N),-016° 54´ 38´´ (W),1992-03-16,410,Reino de Espania,Valencia,+39° 27´ 03´´ (N),-000° 19´ 48´´ (W),3,10,1059
1992,1992-03-26,410,Reino de Espania,Valencia,+39° 27´ 03´´ (N),-000° 19´ 48´´ (W),1992-04-02,417,Republica Italiana,Napoles,+40° 50´ 35´´ (N),+014° 15´ 36´´ (E),7,7,795
1992,1992-04-09,417,Republica Italiana,Napoles,+40° 50´ 35´´ (N),+014° 15´ 36´´ (E),1992-04-11,417,Republica Italiana,Santa Margherita de Ligure,+44° 20´ 06´´ (N),+009° 12´ 36´´ (E),2,2,349
1992,1992-04-13,417,Republica Italiana,Santa Margherita de Ligure,+44° 20´ 06´´ (N),+009° 12´ 36´´ (E),1992-04-14,417,Republica Italiana,Genova ,+44° 24´ 52´´ (N),+008° 54´ 54´´ (E),1,5,20
1992,1992-04-19,417,Republica Italiana,Genova ,+44° 24´ 52´´ (N),+008° 54´ 54´´ (E),1992-04-28,410,Reino de Espania,Cadiz,+36° 31´ 21´´ (N),-006° 16´ 53´´ (W),9,5,1296
1992,1992-05-03,410,Reino de Espania,Cadiz,+36° 31´ 21´´ (N),-006° 16´ 53´´ (W),1992-05-06,410,Reino de Espania,Santa Cruz de Tenerife,+28° 29´ 02´´ (N),-016° 14´ 55´´ (W),3,6,767
1992,1992-05-12,410,Reino de Espania,Santa Cruz de Tenerife,+28° 29´ 02´´ (N),-016° 14´ 55´´ (W),1992-06-06,223,Estado Libre Asociado de Puerto Rico,Municipio Autonomo de San Juan,+18° 27´ 27´´ (N),-066° 12´ 32´´ (W),25,8,3210
1992,1992-06-14,223,Estado Libre Asociado de Puerto Rico,Municipio Autonomo de San Juan,+18° 27´ 27´´ (N),-066° 12´ 32´´ (W),1992-06-15,209,Republica Dominicana,Santo Domingo,+18° 28´ 17´´ (N),-069° 52´ 29´´ (W),1,2,241
1992,1992-06-17,209,Republica Dominicana,Santo Domingo,+18° 28´ 17´´ (N),-069° 52´ 29´´ (W),1992-06-26,212,Estados Unidos de America,Norfolk,+36° 51´ 09´´ (N),-076° 20´ 14´´ (W),9,4,1395
